Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,16488.25
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,1215.97
Tether,USDT,https://coinmarketcap.com/currencies/tether/,0.9997
BNB,BNB,https://coinmarketcap.com/currencies/bnb/,303.42
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,1.00
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,1.00
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,0.3936
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,0.104
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,0.3114
Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,0.8401
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,5.31
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,1.00
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,76.64
Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,0.00
TRON,TRX,https://coinmarketcap.com/currencies/tron/,0.05
Solana,SOL,https://coinmarketcap.com/currencies/solana/,13.60
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,5.50
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,12.62
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,7.37
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,3.81
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,16462.75
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,10.15
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,19.73
Monero,XMR,https://coinmarketcap.com/currencies/monero/,138.23
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,0.09
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,111.69
Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,1.72
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,0.24
Cronos,CRO,https://coinmarketcap.com/currencies/cronos/,0.06
ApeCoin,APE,https://coinmarketcap.com/currencies/apecoin-ape/,4.10
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,4.37
Quant,QNT,https://coinmarketcap.com/currencies/quant/,114.07
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,0.02
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,1.62
OKB,OKB,https://coinmarketcap.com/currencies/okb/,20.66
Flow,FLOW,https://coinmarketcap.com/currencies/flow/,1.11
Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,0.05
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,7.21
Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,3.95
MultiversX (Elrond),EGLD,https://coinmarketcap.com/currencies/elrond-egld/,42.58
Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,0.16
EOS,EOS,https://coinmarketcap.com/currencies/eos/,0.92
Terra Classic,LUNC,https://coinmarketcap.com/currencies/terra-luna/,0.00
Pax Dollar,USDP,https://coinmarketcap.com/currencies/paxos-standard/,1.00
Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network/,0.94
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,0.99
Chain,XCN,https://coinmarketcap.com/currencies/chain/,0.04
Aave,AAVE,https://coinmarketcap.com/currencies/aave/,62.20
The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/,0.57
Trust Wallet Token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,2.03
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,42.31
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,0.40
USDD,USDD,https://coinmarketcap.com/currencies/usdd/,0.99
Axie Infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/,6.85
KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,6.71
BitTorrent-New,BTT,https://coinmarketcap.com/currencies/bittorrent-new/,0.00
Maker,MKR,https://coinmarketcap.com/currencies/maker/,655.11
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,40.38
Neutrino USD,USDN,https://coinmarketcap.com/currencies/neutrino-usd/,0.93
PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/,4.00
BitDAO,BIT,https://coinmarketcap.com/currencies/bitdao/,0.30
Aptos,APT,https://coinmarketcap.com/currencies/aptos/,4.70
Gemini Dollar,GUSD,https://coinmarketcap.com/currencies/gemini-dollar/,1.01
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,0.21
PAX Gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/,1746.11
eCash,XEC,https://coinmarketcap.com/currencies/ecash/,0.00
Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,0.18
Fantom,FTM,https://coinmarketcap.com/currencies/fantom/,0.21
Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix/,1.67
Neo,NEO,https://coinmarketcap.com/currencies/neo/,6.73
Dash,DASH,https://coinmarketcap.com/currencies/dash/,42.18
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,0.06
Mina,MINA,https://coinmarketcap.com/currencies/mina/,0.57
Fei USD,FEI,https://coinmarketcap.com/currencies/fei-usd/,1.00
THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,1.23
BinaryX,BNX,https://coinmarketcap.com/currencies/binaryx/,143.61
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,3.62
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,0.66
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,0.67
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,0.26
EthereumPoW,ETHW,https://coinmarketcap.com/currencies/ethereum-pow/,3.28
Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/,1.11
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.23
GMX,GMX,https://coinmarketcap.com/currencies/gmx/,41.87
Helium,HNT,https://coinmarketcap.com/currencies/helium/,2.49
Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,0.24
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,0.52
Casper,CSPR,https://coinmarketcap.com/currencies/casper/,0.03
Decred,DCR,https://coinmarketcap.com/currencies/decred/,21.28
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,9.24
ImmutableX,IMX,https://coinmarketcap.com/currencies/immutable-x/,0.44
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,0.30
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.02
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,0.88
Celo,CELO,https://coinmarketcap.com/currencies/celo/,0.62
NEM,XEM,https://coinmarketcap.com/currencies/nem/,0.03
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,0.02
Convex Finance,CVX,https://coinmarketcap.com/currencies/convex-finance/,3.98
Holo,HOT,https://coinmarketcap.com/currencies/holo/,0.00
Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,16483.59
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,1215.68
Tether,USDT,https://coinmarketcap.com/currencies/tether/,0.9997
BNB,BNB,https://coinmarketcap.com/currencies/bnb/,303.00
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,1.00
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,1.00
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,0.3935
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,0.1039
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,0.3114
Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,0.8397
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,5.30
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,1.00
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,76.54
Shiba Inu,SHIB,https://coinmarketcap.com/currencies/shiba-inu/,0.00
TRON,TRX,https://coinmarketcap.com/currencies/tron/,0.05
Solana,SOL,https://coinmarketcap.com/currencies/solana/,13.60
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,5.50
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,12.62
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,7.37
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,3.81
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,16452.74
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,10.15
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,19.73
Monero,XMR,https://coinmarketcap.com/currencies/monero/,138.09
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,0.09
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,111.74
Toncoin,TON,https://coinmarketcap.com/currencies/toncoin/,1.72
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,0.24
Cronos,CRO,https://coinmarketcap.com/currencies/cronos/,0.06
ApeCoin,APE,https://coinmarketcap.com/currencies/apecoin-ape/,4.11
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,4.37
Quant,QNT,https://coinmarketcap.com/currencies/quant/,113.96
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,0.02
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,1.62
OKB,OKB,https://coinmarketcap.com/currencies/okb/,20.66
Flow,FLOW,https://coinmarketcap.com/currencies/flow/,1.11
Hedera,HBAR,https://coinmarketcap.com/currencies/hedera/,0.05
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,7.15
Internet Computer,ICP,https://coinmarketcap.com/currencies/internet-computer/,3.95
MultiversX (Elrond),EGLD,https://coinmarketcap.com/currencies/elrond-egld/,42.54
Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,0.16
EOS,EOS,https://coinmarketcap.com/currencies/eos/,0.92
Terra Classic,LUNC,https://coinmarketcap.com/currencies/terra-luna/,0.00
Pax Dollar,USDP,https://coinmarketcap.com/currencies/paxos-standard/,1.00
Theta Network,THETA,https://coinmarketcap.com/currencies/theta-network/,0.94
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,0.99
Chain,XCN,https://coinmarketcap.com/currencies/chain/,0.04
Aave,AAVE,https://coinmarketcap.com/currencies/aave/,62.21
The Sandbox,SAND,https://coinmarketcap.com/currencies/the-sandbox/,0.57
Trust Wallet Token,TWT,https://coinmarketcap.com/currencies/trust-wallet-token/,2.02
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,42.29
TrueUSD,TUSD,https://coinmarketcap.com/currencies/trueusd/,1.00
Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,0.40
USDD,USDD,https://coinmarketcap.com/currencies/usdd/,0.99
Axie Infinity,AXS,https://coinmarketcap.com/currencies/axie-infinity/,6.84
KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,6.71
BitTorrent-New,BTT,https://coinmarketcap.com/currencies/bittorrent-new/,0.00
Maker,MKR,https://coinmarketcap.com/currencies/maker/,654.71
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,40.35
Neutrino USD,USDN,https://coinmarketcap.com/currencies/neutrino-usd/,0.93
PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/,3.99
BitDAO,BIT,https://coinmarketcap.com/currencies/bitdao/,0.30
Gemini Dollar,GUSD,https://coinmarketcap.com/currencies/gemini-dollar/,1.01
Aptos,APT,https://coinmarketcap.com/currencies/aptos/,4.69
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,0.21
PAX Gold,PAXG,https://coinmarketcap.com/currencies/pax-gold/,1746.20
eCash,XEC,https://coinmarketcap.com/currencies/ecash/,0.00
Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,0.18
Fantom,FTM,https://coinmarketcap.com/currencies/fantom/,0.21
Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix/,1.67
Neo,NEO,https://coinmarketcap.com/currencies/neo/,6.73
Dash,DASH,https://coinmarketcap.com/currencies/dash/,42.13
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,0.06
Mina,MINA,https://coinmarketcap.com/currencies/mina/,0.57
Fei USD,FEI,https://coinmarketcap.com/currencies/fei-usd/,1.00
THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,1.23
BinaryX,BNX,https://coinmarketcap.com/currencies/binaryx/,143.49
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,3.62
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,0.66
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,0.67
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,0.26
EthereumPoW,ETHW,https://coinmarketcap.com/currencies/ethereum-pow/,3.28
Lido DAO,LDO,https://coinmarketcap.com/currencies/lido-dao/,1.11
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,0.23
GMX,GMX,https://coinmarketcap.com/currencies/gmx/,41.78
Helium,HNT,https://coinmarketcap.com/currencies/helium/,2.48
Loopring,LRC,https://coinmarketcap.com/currencies/loopring/,0.24
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,0.52
Casper,CSPR,https://coinmarketcap.com/currencies/casper/,0.03
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,9.24
Decred,DCR,https://coinmarketcap.com/currencies/decred/,21.18
ImmutableX,IMX,https://coinmarketcap.com/currencies/immutable-x/,0.44
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,0.30
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,0.02
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,0.88
Celo,CELO,https://coinmarketcap.com/currencies/celo/,0.62
NEM,XEM,https://coinmarketcap.com/currencies/nem/,0.03
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,0.02
Convex Finance,CVX,https://coinmarketcap.com/currencies/convex-finance/,3.98
Holo,HOT,https://coinmarketcap.com/currencies/holo/,0.00
Osmosis,OSMO,https://coinmarketcap.com/currencies/osmosis/,0.9936
